train_years,test_year,dow,dow_name,window,window_utc,entry_thresh,exit_thresh,entry_confirm_min,exit_confirm_min,timed_exit_bars,timed_exit_min,train_n,train_avg_pips,test_n,test_total_pips,test_avg_pips,oos_profitable
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,26,13:00,0.4,0.2,0,0,440,2200,593,11.986,153,563.3,3.6817,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,26,13:00,0.4,0.2,0,0,440,2200,746,10.2828,154,1496.0,9.7143,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,26,13:00,0.4,0.2,0,0,440,2200,900,10.1856,18,177.2,9.8444,True
[2019],2020,4,Fri,27,13:30,0.4,0.2,20,25,30,150,19,15.9421,107,384.2,3.5907,True
"[2019, 2020]",2021,4,Fri,27,13:30,0.4,0.2,60,10,53,265,79,8.9127,95,904.3,9.5189,True
"[2019, 2020, 2021]",2022,4,Fri,27,13:30,0.4,0.2,60,0,344,1720,174,12.0874,69,443.5,6.4275,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,27,13:30,0.4,0.2,40,0,348,1740,283,11.4057,79,428.8,5.4278,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,27,13:30,0.4,0.2,40,30,347,1735,362,10.7442,101,-13.0,-0.1287,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,27,13:30,0.4,0.2,0,0,292,1460,758,9.5714,146,681.0,4.6644,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,27,13:30,0.4,0.2,0,0,276,1380,904,8.8219,23,9.0,0.3913,True
[2019],2020,4,Fri,28,14:00,0.4,0.2,0,60,39,195,24,10.0708,166,1585.0,9.5482,True
"[2019, 2020]",2021,4,Fri,28,14:00,0.4,0.2,0,60,36,180,190,10.4021,151,770.5,5.1026,True
"[2019, 2020, 2021]",2022,4,Fri,28,14:00,0.4,0.2,0,60,36,180,341,8.0554,159,2054.3,12.9201,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,28,14:00,0.4,0.2,0,0,399,1995,500,10.5868,134,1501.2,11.203,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,28,14:00,0.4,0.2,0,0,76,380,634,11.1462,154,1911.7,12.4136,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,28,14:00,0.4,0.2,0,0,76,380,788,11.3939,183,2551.3,13.9415,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,28,14:00,0.4,0.2,0,0,76,380,971,11.874,27,320.6,11.8741,True
[2019],2020,4,Fri,29,14:30,0.4,0.2,0,60,52,260,23,5.9783,129,456.1,3.5357,True
"[2019, 2020]",2021,4,Fri,29,14:30,0.4,0.2,0,0,50,250,152,5.2934,115,786.4,6.8383,True
"[2019, 2020, 2021]",2022,4,Fri,29,14:30,0.4,0.2,0,0,452,2260,267,6.1637,99,1364.4,13.7818,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,29,14:30,0.4,0.2,0,0,55,275,366,9.6148,112,908.5,8.1116,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,29,14:30,0.4,0.2,0,0,55,275,478,9.2626,114,859.3,7.5377,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,29,14:30,0.4,0.2,0,0,55,275,592,8.9304,135,1163.6,8.6193,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,29,14:30,0.4,0.2,0,0,55,275,727,8.8726,8,-35.3,-4.4125,False
[2019],2020,4,Fri,30,15:00,0.4,0.2,0,0,27,135,24,16.8042,141,2255.8,15.9986,True
"[2019, 2020]",2021,4,Fri,30,15:00,0.4,0.2,0,0,47,235,165,17.9291,132,434.7,3.2932,True
"[2019, 2020, 2021]",2022,4,Fri,30,15:00,0.4,0.2,0,0,47,235,297,11.4242,118,954.6,8.0898,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,30,15:00,0.4,0.2,0,0,52,260,415,10.5472,121,1212.6,10.0215,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,30,15:00,0.4,0.2,0,0,52,260,536,10.4285,138,1272.3,9.2196,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,30,15:00,0.4,0.2,0,0,52,260,674,10.181,139,193.1,1.3892,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,30,15:00,0.4,0.2,0,0,302,1510,813,8.7292,19,41.2,2.1684,True
[2019],2020,4,Fri,31,15:30,0.4,0.2,0,0,24,120,18,5.5556,91,325.9,3.5813,True
"[2019, 2020]",2021,4,Fri,31,15:30,0.4,0.2,0,0,13,65,109,5.1523,126,275.0,2.1825,True
"[2019, 2020, 2021]",2022,4,Fri,31,15:30,0.4,0.2,0,0,45,225,235,3.9834,94,505.5,5.3777,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,31,15:30,0.4,0.2,0,0,45,225,329,4.3818,91,299.0,3.2857,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,31,15:30,0.4,0.2,0,0,45,225,420,4.1443,96,423.7,4.4135,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,31,15:30,0.4,0.2,0,0,45,225,516,4.1944,111,324.4,2.9225,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,31,15:30,0.4,0.2,0,0,45,225,627,3.9692,9,259.3,28.8111,True
[2019],2020,4,Fri,32,16:00,0.4,0.2,0,55,208,1040,15,7.3533,142,146.3,1.0303,True
"[2019, 2020]",2021,4,Fri,32,16:00,0.4,0.2,0,35,50,250,157,5.1115,119,615.9,5.1756,True
"[2019, 2020, 2021]",2022,4,Fri,32,16:00,0.4,0.2,0,30,52,260,276,5.208,128,1125.7,8.7945,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,32,16:00,0.4,0.2,0,30,47,235,404,6.4658,113,785.1,6.9478,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,32,16:00,0.4,0.2,0,30,47,235,517,6.5712,119,409.6,3.442,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,32,16:00,0.4,0.2,0,30,44,220,636,6.0329,167,1121.6,6.7162,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,32,16:00,0.4,0.2,0,30,44,220,803,6.175,15,277.2,18.48,True
[2019],2020,4,Fri,33,16:30,0.4,0.2,0,20,53,265,15,8.1467,79,-62.3,-0.7886,False
"[2019, 2020]",2021,4,Fri,33,16:30,0.4,0.2,0,20,47,235,94,2.0255,85,65.2,0.7671,True
"[2019, 2020, 2021]",2022,4,Fri,33,16:30,0.4,0.2,0,0,47,235,179,2.3553,80,283.7,3.5462,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,33,16:30,0.4,0.2,0,0,295,1475,259,3.2035,86,192.0,2.2326,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,33,16:30,0.4,0.2,0,0,47,235,345,3.0936,84,111.4,1.3262,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,33,16:30,0.4,0.2,0,0,47,235,429,2.7476,88,127.7,1.4511,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,33,16:30,0.4,0.2,0,0,475,2375,517,2.6714,9,69.5,7.7222,True
[2019],2020,4,Fri,34,17:00,0.4,0.2,0,40,53,265,17,2.2118,106,-211.4,-1.9943,False
"[2019, 2020]",2021,4,Fri,34,17:00,0.4,0.2,0,0,17,85,123,5.9098,102,231.1,2.2657,True
"[2019, 2020, 2021]",2022,4,Fri,34,17:00,0.4,0.2,0,0,23,115,225,4.3916,111,705.7,6.3577,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,34,17:00,0.4,0.2,0,0,201,1005,336,5.5265,98,321.8,3.2837,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,34,17:00,0.4,0.2,0,0,200,1000,434,5.0247,111,11.2,0.1009,True
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,34,17:00,0.4,0.2,0,0,23,115,545,4.0565,109,260.1,2.3862,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,34,17:00,0.4,0.2,0,0,23,115,654,3.7781,17,369.0,21.7059,True
"[2019, 2020]",2021,4,Fri,35,17:30,0.4,0.2,35,60,210,1050,43,12.8349,63,-210.1,-3.3349,False
"[2019, 2020, 2021]",2022,4,Fri,35,17:30,0.4,0.2,35,60,139,695,106,3.7528,46,25.6,0.5565,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,35,17:30,0.4,0.2,40,60,360,1800,149,3.6651,47,-14.5,-0.3085,False
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,35,17:30,0.4,0.2,35,60,228,1140,201,2.9841,55,-65.5,-1.1909,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,35,17:30,0.4,0.2,35,60,182,910,256,2.2703,64,190.8,2.9813,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,35,17:30,0.4,0.2,35,60,184,920,320,2.4884,5,-79.0,-15.8,False
"[2019, 2020]",2021,4,Fri,36,18:00,0.4,0.2,60,45,90,450,56,11.0786,53,-199.6,-3.766,False
"[2019, 2020, 2021]",2022,4,Fri,36,18:00,0.4,0.2,60,55,90,450,109,4.2743,53,-858.6,-16.2,False
"[2019, 2020, 2021, 2022]",2023,4,Fri,36,18:00,0.4,0.2,0,0,23,115,342,0.2874,98,310.9,3.1724,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,36,18:00,0.4,0.2,0,0,22,110,440,0.9607,119,-33.9,-0.2849,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,36,18:00,0.4,0.2,0,0,22,110,559,0.6955,132,222.6,1.6864,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,36,18:00,0.4,0.2,60,60,95,475,347,2.0009,4,-7.1,-1.775,False
"[2019, 2020]",2021,4,Fri,37,18:30,0.4,0.2,0,0,17,85,113,0.2425,76,-10.7,-0.1408,False
"[2019, 2020, 2021]",2022,4,Fri,37,18:30,0.4,0.2,0,0,17,85,189,0.0884,93,388.3,4.1753,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,37,18:30,0.4,0.2,0,0,21,105,282,1.5993,107,-43.7,-0.4084,False
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,37,18:30,0.4,0.2,0,0,21,105,389,1.047,112,-167.7,-1.4973,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,37,18:30,0.4,0.2,0,0,21,105,501,0.4782,80,47.0,0.5875,True
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,37,18:30,0.4,0.2,0,0,17,85,581,0.5248,6,-9.0,-1.5,False
[2019],2020,4,Fri,38,19:00,0.4,0.2,0,55,30,150,20,2.38,143,-805.3,-5.6315,False
"[2019, 2020]",2021,4,Fri,38,19:00,0.4,0.2,35,60,88,440,109,7.3771,78,-461.7,-5.9192,False
"[2019, 2020, 2021]",2022,4,Fri,38,19:00,0.4,0.2,35,60,147,735,187,2.1455,74,393.6,5.3189,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,38,19:00,0.4,0.2,25,60,164,820,293,3.2621,55,-223.6,-4.0655,False
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,38,19:00,0.4,0.2,35,60,225,1125,309,2.4761,69,-530.6,-7.6899,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,38,19:00,0.4,0.2,25,60,227,1135,428,0.6393,91,-140.9,-1.5484,False
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,38,19:00,0.4,0.2,0,60,169,845,723,0.8927,21,30.3,1.4429,True
"[2019, 2020]",2021,4,Fri,39,19:30,0.4,0.2,0,0,14,70,128,1.6781,114,-182.6,-1.6018,False
"[2019, 2020, 2021]",2022,4,Fri,39,19:30,0.4,0.2,0,0,14,70,242,0.1331,93,-11.0,-0.1183,False
"[2019, 2020, 2021, 2022]",2023,4,Fri,39,19:30,0.4,0.2,0,0,169,845,335,0.5451,96,-578.2,-6.0229,False
"[2019, 2020]",2021,4,Fri,40,20:00,0.4,0.2,60,60,150,750,83,10.847,55,-439.2,-7.9855,False
"[2019, 2020, 2021]",2022,4,Fri,40,20:00,0.4,0.2,60,60,150,750,138,3.3413,58,-816.2,-14.0724,False
"[2019, 2020, 2021, 2022]",2023,4,Fri,40,20:00,0.4,0.2,0,60,81,405,433,0.8751,114,-400.1,-3.5096,False
"[2019, 2020]",2021,4,Fri,41,20:30,0.4,0.2,30,60,191,955,58,6.5121,66,-766.2,-11.6091,False
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,41,20:30,0.4,0.2,0,60,107,535,727,0.1602,11,-52.5,-4.7727,False
[2019],2020,4,Fri,42,21:00,0.4,0.2,30,60,435,2175,18,13.1333,36,923.4,25.65,True
"[2019, 2020]",2021,4,Fri,42,21:00,0.4,0.2,45,0,64,320,38,35.7737,15,-242.9,-16.1933,False
"[2019, 2020, 2021]",2022,4,Fri,42,21:00,0.4,0.2,50,0,63,315,49,23.5143,23,-369.2,-16.0522,False
"[2019, 2020, 2021, 2022]",2023,4,Fri,42,21:00,0.4,0.2,50,0,63,315,72,10.875,16,-177.4,-11.0875,False
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,42,21:00,0.4,0.2,50,0,63,315,88,6.8818,17,-156.8,-9.2235,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,42,21:00,0.4,0.2,50,0,63,315,105,4.2743,20,41.9,2.095,True
[2019],2020,4,Fri,43,21:30,0.4,0.2,25,0,483,2415,16,9.15,20,137.7,6.885,True
"[2019, 2020]",2021,4,Fri,43,21:30,0.4,0.2,60,0,476,2380,25,18.384,12,-73.1,-6.0917,False
"[2019, 2020, 2021]",2022,4,Fri,43,21:30,0.4,0.2,60,0,476,2380,37,10.4459,17,60.0,3.5294,True
"[2019, 2020, 2021, 2022]",2023,4,Fri,43,21:30,0.4,0.2,60,0,476,2380,54,8.2685,14,130.9,9.35,True
"[2019, 2020, 2021, 2022, 2023]",2024,4,Fri,43,21:30,0.4,0.2,60,0,200,1000,68,8.8853,19,-92.9,-4.8895,False
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,4,Fri,43,21:30,0.4,0.2,60,0,200,1000,87,5.877,14,-144.0,-10.2857,False
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,4,Fri,43,21:30,0.4,0.2,60,0,200,1000,101,3.6366,8,-106.1,-13.2625,False
