train_years,test_year,n_slots,test_n_signals,test_n_traded,test_n_blocked,test_total_pips,test_avg_pips,test_win_rate,test_pf,test_max_dd
[2019],2020,141,16532,13109,3423,79101.5,6.034,45.9,2.166,695.8
"[2019, 2020]",2021,170,19286,15201,4085,71546.7,4.707,46.8,2.183,512.6
"[2019, 2020, 2021]",2022,192,21224,17359,3865,145048.4,8.356,47.9,2.619,718.8
"[2019, 2020, 2021, 2022]",2023,201,22856,18330,4526,136025.6,7.421,46.4,2.772,744.8
"[2019, 2020, 2021, 2022, 2023]",2024,189,21752,18259,3493,114942.5,6.295,45.2,2.687,625.6
"[2019, 2020, 2021, 2022, 2023, 2024]",2025,204,22947,19475,3472,123502.5,6.342,46.1,2.624,551.2
"[2019, 2020, 2021, 2022, 2023, 2024, 2025]",2026,145,1829,1589,240,15001.2,9.441,51.4,4.003,155.2
